objectid,filename,title,format,series name,volume number,issue number,publisher,script,pencils,inks,colors,letters,editing,date,subjects
comic001,comic001.jpg,The Jimmy Cage!,image/jpeg,Action Comics,1,712,DC,"Michelinie, David","Dwyer, Kieron","Rodier, Denis","Whitmore, Glenn","Oakley, Bill",Carlin ; Carlson,1995-08-01,
comic002,comic002.jpg,The Collection Obsession: First Encounter,image/jpeg,Avengers,1,334,Marvel,"Harras, Bob","Kubert, Andy","Palmer, Tom","Scheele, Christie","Costanza, John","Mackie, Howard ; DeFalco, Tom",1991-07-01,
comic003,comic003.jpg,The Collection Obsession: Bloody Encounter,image/jpeg,Avengers,1,335,Marvel,"Harras, Bob","Epting, Steve",Palmer ; DeZuñiga,"Scheele, Christie","Costanza, John","Macchio, Ralph ; DeFalco, Tom",1991-08-01,
comic004,comic004.jpg,The Collection Obsession: For Here We Make Our Stand!,image/jpeg,Avengers,1,336,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Scheele, Christie","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1991-08-14,
comic005,comic005.jpg,The Collection Obsession: Mud and Glory,image/jpeg,Avengers,1,337,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Witterstaetter, R.",Oakley ; Parker,"Macchio, Ralph ; DeFalco, Tom",1991-09-07,Black Widow ; Captain America ; Iron Man ; Vision ; Hercules ; Black Knight ; Rage ; Sersi ; Crystal Maximoff ; Quasar ; Beast ; Black Panther ; Henry Pym ; Collector ; Watcher ; Lockjaw ; Nakka ; Thane Ector ; Fool ; Sybyl Dorn
comic006,comic006.jpg,The Collection Obsession: Infectious Compulsions,image/jpeg,Avengers,1,338,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom",Witterstaetter ; Mossof ; Tinsley,Oakley ; Parker,"Macchio, Ralph ; DeFalco, Tom",1991-09-14,
comic007,comic007.jpg,The Collection Obsession: Final Redemption,image/jpeg,Avengers,1,339,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom",Tinsley ; Mossof ; Scott ; Skolnik,"Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1991-10-01,
comic008,comic008.jpg,Clay Soldiers,image/jpeg,Avengers,1,340,Marvel,"Michelinie, David ; Lobdell, Scott","Abrams, Paul","Jones, R. ; Barnette, Chuck",Witterstaetter ; Javins,"K. Joyce, Brad","Macchio, Ralph ; DeFalco, Tom",1991-10-14,
comic009,comic009.jpg,Rage of Angels,image/jpeg,Avengers,1,341,Marvel,"Nicieza, Fabian","Epting, Steve","Palmer, Tom","Scheele, Christie","Heisler, Michael","Macchio, Ralph ; DeFalco, Tom",1991-11-01,
comic010,comic010.jpg,By Reason of INSANITY?,image/jpeg,Avengers,1,342,Marvel,"Nicieza, Fabian","Epting, Steve","Palmer, Tom","Tokar, Rob","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1991-12-01,
comic011,comic011.jpg,First Night,image/jpeg,Avengers,1,343,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-01-01,
comic012,comic012.jpg,Echoes of the Past,image/jpeg,Avengers,1,344,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-02-01,
comic013,comic013.jpg,Operation: Galactic Storm: Storm Gatherings,image/jpeg,Avengers,1,345,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-03-01,
comic014,comic014.jpg,Operation: Galactic Storm: Assassination,image/jpeg,Avengers,1,346,Marvel,"Harras, Bob","Epting, Steven","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-04-01,
comic015,comic015.jpg,Operation: Galactic Storm: Empire's End,image/jpeg,Avengers,1,347,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Going, Gina","Oakley, Bill ; Higgins, Michael","Macchio, Ralph ; DeFalco, Tom",1992-05-01,Black Knight ; Captain America ; Captain Marvel ; Crystal Maximoff ; Goliath ; Hercules ; Iron Man ; Living Lightning ; Quasar ; Scarlet Witch ; Sersi ; Starfox ; Thor ; Vision ; Wonder Man ; Deathbird ; Doctor Minerva ; Captain Atlas ; Supreme Intelligence ; Immortus
comic016,comic016.jpg,Familial Connections,image/jpeg,Avengers,1,348,Marvel,"Harras, Bob","Jarvinen, Kirk","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-06-01,
comic017,comic017.jpg,Death Wager,image/jpeg,Avengers,1,349,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-07-01,
comic018,comic018.jpg,Repercussions,image/jpeg,Avengers,1,350,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom",Palmer ; Mossof,"Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-08-01,
comic019,comic019.jpg,Retribution!,image/jpeg,Avengers,1,351,Marvel,"Harras, Bob","West, Kevin","Larosa, Bud","Going, Gina","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-08-14,
comic020,comic020.jpg,Fear the Reaper: Son of Darkness,image/jpeg,Avengers,1,352,Marvel,"Kaminski, Len","Wyman, M. C.","Palmer, Tom","Palmer, Tom","Parker, Rick","Macchio, Ralph ; DeFalco, Tom",1992-09-01,
comic021,comic021.jpg,Fear the Reaper: To Wake the Dead,image/jpeg,Avengers,1,353,Marvel,"Kaminski, Len","Wyman, M. C.",Ariane,"Ariane ; Tokar, Rob","Eliopoulos, Chris","Macchio, Ralph ; DeFalco, Tom",1992-09-14,
comic022,comic022.jpg,Fear the Reaper: The Conqueror Worm,image/jpeg,Avengers,1,354,Marvel,"Kaminski, Len","Wyman, M. C.",Alexandrov ; Ariane,"Thomas, Mike","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-10-01,
comic023,comic023.jpg,When Come the Gatherers...!,image/jpeg,Avengers,1,355,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-10-14,
comic024,comic024.jpg,Death in a Gathering Place,image/jpeg,Avengers,1,356,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-11-01,
comic025,comic025.jpg,The Night Visitors,image/jpeg,Avengers,1,357,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1992-12-01,
comic026,comic026.jpg,Arkon's Asylum,image/jpeg,Avengers,1,358,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1993-01-01,
